"Node1","Node2","Score"
"ENSG00000100030","ENSG00000146648","0.997017"
"ENSG00000100393","ENSG00000166949","0.997666"
"ENSG00000100603","ENSG00000166949","0.994562"
"ENSG00000166949","ENSG00000091831","0.989849"
"ENSG00000055130","ENSG00000166949","0.996522"
"ENSG00000100387","ENSG00000166949","0.996412"
"ENSG00000166949","ENSG00000168036","0.985561"
"ENSG00000177606","ENSG00000166949","0.99803"
"ENSG00000084676","ENSG00000100393","0.998665"
"ENSG00000110092","ENSG00000124762","0.998707"
"ENSG00000166949","ENSG00000114166","0.996938"
"ENSG00000012048","ENSG00000166949","0.994581"
"ENSG00000166949","ENSG00000141510","0.996501"
"ENSG00000168036","ENSG00000113712","0.995187"
"ENSG00000105810","ENSG00000168036","0.982069"
"ENSG00000005339","ENSG00000213341","0.990216"
"ENSG00000213341","ENSG00000109320","0.991481"
"ENSG00000213341","ENSG00000197122","0.995144"
"ENSG00000164924","ENSG00000198909","0.986656"
"ENSG00000198909","ENSG00000108953","0.99947"
"ENSG00000198909","ENSG00000080824","0.999554"
"ENSG00000080824","ENSG00000213341","0.994842"
"ENSG00000198909","ENSG00000137764","0.999307"
"ENSG00000172531","ENSG00000213341","0.986565"
"ENSG00000142192","ENSG00000164924","0.980612"
"ENSG00000140464","ENSG00000198793","0.996445"
"ENSG00000196230","ENSG00000142192","0.981051"
"ENSG00000164924","ENSG00000103197","0.983026"
"ENSG00000103197","ENSG00000100030","0.999007"
"ENSG00000115415","ENSG00000167986","0.984585"
"ENSG00000106462","ENSG00000108883","0.992759"
"ENSG00000213341","ENSG00000168036","0.993981"
"ENSG00000113580","ENSG00000116478","0.995072"
"ENSG00000100387","ENSG00000055130","0.999917"
"ENSG00000115415","ENSG00000149311","0.990221"
"ENSG00000213341","ENSG00000142208","0.982461"
"ENSG00000097007","ENSG00000177606","0.997212"
"ENSG00000142192","ENSG00000064012","0.992755"
"ENSG00000108055","ENSG00000123374","0.999133"
"ENSG00000168036","ENSG00000143799","0.987147"
"ENSG00000107643","ENSG00000119487","0.986813"
"ENSG00000100393","ENSG00000064012","0.993429"
"ENSG00000115415","ENSG00000171720","0.993973"
"ENSG00000198793","ENSG00000168610","0.982684"
"ENSG00000149269","ENSG00000142208","0.987678"
"ENSG00000213341","ENSG00000091831","0.986954"
"ENSG00000154229","ENSG00000168036","0.987131"
"ENSG00000186298","ENSG00000132155","0.994455"
"ENSG00000082701","ENSG00000186868","0.998409"
"ENSG00000100393","ENSG00000141510","0.999889"
"ENSG00000099956","ENSG00000142208","0.996448"
"ENSG00000137486","ENSG00000213341","0.994012"
"ENSG00000100393","ENSG00000135679","0.995888"
"ENSG00000149269","ENSG00000132155","0.995819"
"ENSG00000123374","ENSG00000072501","0.99926"
"ENSG00000144381","ENSG00000142192","0.996847"
"ENSG00000116478","ENSG00000132170","0.998052"
"ENSG00000134057","ENSG00000141510","0.998601"
"ENSG00000166949","ENSG00000116478","0.997602"
"ENSG00000091831","ENSG00000100030","0.998621"
"ENSG00000144381","ENSG00000168036","0.989934"
"ENSG00000080824","ENSG00000162711","0.983114"
"ENSG00000105221","ENSG00000168036","0.989884"
"ENSG00000169083","ENSG00000100393","0.996818"
"ENSG00000103197","ENSG00000108953","0.992277"
"ENSG00000171862","ENSG00000106462","0.982483"
"ENSG00000132170","ENSG00000171720","0.996245"
"ENSG00000091831","ENSG00000149269","0.996693"
"ENSG00000115524","ENSG00000106462","0.984328"
"ENSG00000141510","ENSG00000112062","0.998265"
"ENSG00000107643","ENSG00000168610","0.996676"
"ENSG00000135679","ENSG00000112592","0.99643"
"ENSG00000073584","ENSG00000127616","0.999974"
"ENSG00000165119","ENSG00000135679","0.994771"
"ENSG00000108953","ENSG00000080824","0.996858"
"ENSG00000066336","ENSG00000177606","0.999285"
"ENSG00000135679","ENSG00000142208","0.997594"
"ENSG00000005339","ENSG00000166949","0.998188"
"ENSG00000198793","ENSG00000097007","0.982814"
"ENSG00000141510","ENSG00000149311","0.999111"
"ENSG00000164924","ENSG00000142208","0.996008"
"ENSG00000177606","ENSG00000168036","0.986896"
"ENSG00000050748","ENSG00000177606","0.998577"
"ENSG00000142208","ENSG00000067606","0.993232"
"ENSG00000141510","ENSG00000115415","0.99564"
"ENSG00000197122","ENSG00000160691","0.998748"
"ENSG00000082701","ENSG00000164924","0.99448"
"ENSG00000123374","ENSG00000253729","0.996062"
"ENSG00000143799","ENSG00000169083","0.995648"
"ENSG00000149311","ENSG00000100393","0.997747"
"ENSG00000055130","ENSG00000113558","0.999753"
"ENSG00000169083","ENSG00000142208","0.984905"
"ENSG00000082701","ENSG00000142208","0.99645"
"ENSG00000119487","ENSG00000198793","0.993917"
"ENSG00000116478","ENSG00000115415","0.995794"
"ENSG00000168036","ENSG00000171862","0.992923"
"ENSG00000166598","ENSG00000096433","0.989674"
"ENSG00000105221","ENSG00000091831","0.987055"
"ENSG00000005339","ENSG00000115415","0.99611"
"ENSG00000213341","ENSG00000105221","0.98548"
"ENSG00000182247","ENSG00000142192","0.983621"
"ENSG00000105221","ENSG00000067606","0.992064"
"ENSG00000116478","ENSG00000168036","0.981192"
"ENSG00000034152","ENSG00000198909","0.998903"
"ENSG00000177606","ENSG00000100393","0.999611"
"ENSG00000114166","ENSG00000118260","0.989001"
"ENSG00000168036","ENSG00000164924","0.99757"
"ENSG00000132155","ENSG00000100030","0.999"
"ENSG00000101266","ENSG00000142192","0.980967"
"ENSG00000213341","ENSG00000198793","0.990882"
"ENSG00000168036","ENSG00000142208","0.990506"
"ENSG00000141367","ENSG00000137486","0.998988"
"ENSG00000168036","ENSG00000127824","0.983387"
"ENSG00000100030","ENSG00000168610","0.990003"
"ENSG00000169032","ENSG00000149269","0.999234"
"ENSG00000091831","ENSG00000103197","0.996835"
"ENSG00000143799","ENSG00000123374","0.982005"
"ENSG00000164924","ENSG00000198793","0.98804"
"ENSG00000132170","ENSG00000113580","0.985569"
"ENSG00000144381","ENSG00000213341","0.989283"
"ENSG00000050748","ENSG00000119487","0.995593"
"ENSG00000141510","ENSG00000102882","0.998501"
"ENSG00000157764","ENSG00000169032","0.991018"
"ENSG00000166949","ENSG00000100030","0.988271"
"ENSG00000100393","ENSG00000115415","0.993538"
"ENSG00000118260","ENSG00000100393","0.999351"
"ENSG00000141510","ENSG00000050748","0.998545"
"ENSG00000106462","ENSG00000162521","0.999882"
"ENSG00000197122","ENSG00000131323","0.996585"
"ENSG00000164924","ENSG00000196230","0.988085"
"ENSG00000162385","ENSG00000106462","0.980289"
"ENSG00000146648","ENSG00000167552","0.980801"
"ENSG00000034152","ENSG00000112062","0.998398"
"ENSG00000204843","ENSG00000034152","0.990029"
"ENSG00000107643","ENSG00000177606","0.999725"
"ENSG00000168610","ENSG00000171105","0.98401"
"ENSG00000168036","ENSG00000100393","0.989629"
"ENSG00000183765","ENSG00000149311","0.987055"
"ENSG00000142208","ENSG00000119487","0.995009"
"ENSG00000149311","ENSG00000117748","0.997633"
"ENSG00000141510","ENSG00000107643","0.998663"
"ENSG00000149311","ENSG00000104320","0.988154"
"ENSG00000112062","ENSG00000119487","0.996015"
"ENSG00000127616","ENSG00000132170","0.994136"
"ENSG00000082701","ENSG00000103197","0.982355"
"ENSG00000165119","ENSG00000141510","0.998649"
"ENSG00000141510","ENSG00000100030","0.998312"
"ENSG00000101266","ENSG00000067606","0.990804"
"ENSG00000075624","ENSG00000141736","0.990035"
"ENSG00000198793","ENSG00000142208","0.989611"
"ENSG00000160691","ENSG00000100030","0.996062"
"ENSG00000067369","ENSG00000141510","0.999505"
"ENSG00000132341","ENSG00000100603","0.987017"
"ENSG00000082701","ENSG00000177606","0.997334"
"ENSG00000039068","ENSG00000172531","0.981019"
"ENSG00000141510","ENSG00000004487","0.999084"
"ENSG00000168036","ENSG00000197122","0.989393"
"ENSG00000135679","ENSG00000204209","0.996521"
"ENSG00000162521","ENSG00000132341","0.98438"
"ENSG00000012048","ENSG00000072501","0.997755"
"ENSG00000142208","ENSG00000188906","0.986524"
"ENSG00000132604","ENSG00000188486","0.999593"
"ENSG00000135679","ENSG00000166598","0.995786"
"ENSG00000132535","ENSG00000178568","0.982809"
"ENSG00000146648","ENSG00000109971","0.99684"
"ENSG00000109971","ENSG00000137486","0.995613"
"ENSG00000124762","ENSG00000135446","0.999431"
"ENSG00000169032","ENSG00000137693","0.984485"
"ENSG00000135679","ENSG00000187555","0.995919"
"ENSG00000100393","ENSG00000145604","0.997647"
"ENSG00000100393","ENSG00000091831","0.992964"
"ENSG00000124762","ENSG00000132646","0.999932"
"ENSG00000145604","ENSG00000055130","0.999974"
"ENSG00000104320","ENSG00000188486","0.999556"
"ENSG00000108953","ENSG00000164924","0.999602"
"ENSG00000144381","ENSG00000177606","0.991461"
"ENSG00000116030","ENSG00000141510","0.997954"
"ENSG00000187555","ENSG00000141510","0.999136"
"ENSG00000101945","ENSG00000116478","0.999806"
"ENSG00000196591","ENSG00000101945","0.999816"
"ENSG00000204843","ENSG00000094631","0.99931"
"ENSG00000135679","ENSG00000140464","0.997571"
"ENSG00000113712","ENSG00000135679","0.997496"
"ENSG00000198909","ENSG00000100030","0.99919"
"ENSG00000104320","ENSG00000144554","0.98897"
"ENSG00000132170","ENSG00000096717","0.995585"
"ENSG00000127616","ENSG00000164362","0.992102"
"ENSG00000104738","ENSG00000072501","0.999497"
"ENSG00000108055","ENSG00000135446","0.997702"
"ENSG00000092820","ENSG00000135679","0.994068"
"ENSG00000141510","ENSG00000198793","0.99647"
"ENSG00000136997","ENSG00000145604","0.997158"
"ENSG00000141510","ENSG00000005339","0.999791"
"ENSG00000118260","ENSG00000141510","0.999249"
"ENSG00000012048","ENSG00000091831","0.998764"
"ENSG00000178568","ENSG00000080824","0.986178"
"ENSG00000162711","ENSG00000055332","0.992257"
"ENSG00000147065","ENSG00000132646","0.980676"
"ENSG00000162521","ENSG00000124762","0.995348"
"ENSG00000162521","ENSG00000116478","0.999983"
"ENSG00000213639","ENSG00000132646","0.980978"
"ENSG00000105974","ENSG00000142192","0.998322"
"ENSG00000186868","ENSG00000142192","0.996998"
"ENSG00000204209","ENSG00000141510","0.999391"
"ENSG00000146648","ENSG00000164924","0.994437"
"ENSG00000101945","ENSG00000096717","0.999944"
"ENSG00000136997","ENSG00000082701","0.99609"
"ENSG00000143799","ENSG00000100030","0.983218"
"ENSG00000188906","ENSG00000067560","0.980326"
"ENSG00000187555","ENSG00000171862","0.992048"
"ENSG00000137693","ENSG00000108953","0.993741"
"ENSG00000188906","ENSG00000072062","0.996285"
"ENSG00000105974","ENSG00000075624","0.995732"
"ENSG00000166949","ENSG00000075624","0.996056"
"ENSG00000100387","ENSG00000145604","0.999965"
"ENSG00000197122","ENSG00000169032","0.991927"
"ENSG00000142192","ENSG00000232810","0.987258"
"ENSG00000146648","ENSG00000087586","0.984071"
"ENSG00000142208","ENSG00000183684","0.991498"
"ENSG00000106462","ENSG00000101945","0.991334"
"ENSG00000141510","ENSG00000183765","0.999514"
"ENSG00000113558","ENSG00000145604","0.999956"
"ENSG00000109320","ENSG00000116478","0.998007"
"ENSG00000141367","ENSG00000172531","0.9945"
"ENSG00000127616","ENSG00000188486","0.994728"
"ENSG00000080824","ENSG00000132155","0.992818"
"ENSG00000148660","ENSG00000166949","0.988525"
"ENSG00000110092","ENSG00000171720","0.99435"
"ENSG00000167986","ENSG00000143013","0.997045"
"ENSG00000186868","ENSG00000109971","0.992139"
"ENSG00000144554","ENSG00000012048","0.997053"
"ENSG00000091831","ENSG00000084676","0.984699"
"ENSG00000165280","ENSG00000198909","0.995623"
"ENSG00000141510","ENSG00000112592","0.999703"
"ENSG00000039068","ENSG00000146648","0.997258"
"ENSG00000204843","ENSG00000142192","0.985558"
"ENSG00000051180","ENSG00000141510","0.999484"
"ENSG00000132646","ENSG00000113712","0.991537"
"ENSG00000072062","ENSG00000142192","0.996869"
"ENSG00000175054","ENSG00000141510","0.999068"
"ENSG00000188486","ENSG00000149311","0.999424"
"ENSG00000101266","ENSG00000196419","0.990138"
"ENSG00000079246","ENSG00000101266","0.991771"
"ENSG00000164924","ENSG00000123416","0.991775"
"ENSG00000136997","ENSG00000096717","0.997597"
"ENSG00000142192","ENSG00000082701","0.980886"
"ENSG00000172977","ENSG00000141510","0.99815"
"ENSG00000178568","ENSG00000141736","0.980602"
"ENSG00000113558","ENSG00000124762","0.998024"
"ENSG00000100603","ENSG00000084676","0.991667"
"ENSG00000108094","ENSG00000100387","0.999991"
"ENSG00000080824","ENSG00000104419","0.988287"
"ENSG00000103275","ENSG00000141510","0.999528"
"ENSG00000072062","ENSG00000175166","0.987057"
"ENSG00000141510","ENSG00000082701","0.997614"
"ENSG00000132535","ENSG00000183454","0.99912"
"ENSG00000154229","ENSG00000094631","0.991459"
"ENSG00000149311","ENSG00000072501","0.998734"
"ENSG00000104320","ENSG00000100393","0.981593"
"ENSG00000132535","ENSG00000273079","0.998206"
"ENSG00000123416","ENSG00000258947","0.999158"
"ENSG00000107643","ENSG00000188486","0.988432"
"ENSG00000100030","ENSG00000142192","0.996339"
"ENSG00000141510","ENSG00000082898","0.999489"
"ENSG00000039068","ENSG00000082701","0.987737"
"ENSG00000141736","ENSG00000147065","0.999179"
"ENSG00000097007","ENSG00000051180","0.995555"
"ENSG00000168036","ENSG00000164362","0.986453"
"ENSG00000142192","ENSG00000132155","0.989778"
"ENSG00000143799","ENSG00000188486","0.997785"
"ENSG00000072501","ENSG00000108055","0.999584"
"ENSG00000097007","ENSG00000142192","0.985545"
"ENSG00000105329","ENSG00000142192","0.996899"
"ENSG00000186868","ENSG00000146648","0.987194"
"ENSG00000137154","ENSG00000104419","0.9951"
"ENSG00000196230","ENSG00000186868","0.993865"
"ENSG00000141027","ENSG00000132170","0.99731"
"ENSG00000082701","ENSG00000143013","0.980681"
"ENSG00000132646","ENSG00000186868","0.982989"
"ENSG00000087586","ENSG00000142208","0.996052"
"ENSG00000102882","ENSG00000172531","0.995846"
"ENSG00000091831","ENSG00000135679","0.992683"
"ENSG00000135446","ENSG00000136997","0.997721"
"ENSG00000172531","ENSG00000055130","0.995955"
"ENSG00000113558","ENSG00000172531","0.995965"
"ENSG00000168610","ENSG00000141736","0.988179"
"ENSG00000183765","ENSG00000104320","0.992691"
"ENSG00000172531","ENSG00000204390","0.99335"
"ENSG00000102081","ENSG00000161203","0.989445"
"ENSG00000142208","ENSG00000172531","0.99119"
"ENSG00000124762","ENSG00000134057","0.981472"
"ENSG00000131462","ENSG00000082701","0.999153"
"ENSG00000091831","ENSG00000109320","0.986857"
"ENSG00000105974","ENSG00000197122","0.995848"
"ENSG00000160691","ENSG00000164924","0.992859"
"ENSG00000172531","ENSG00000142192","0.993834"
"ENSG00000124762","ENSG00000130741","0.993853"
"ENSG00000164924","ENSG00000137693","0.994701"
"ENSG00000123374","ENSG00000134058","0.998095"
"ENSG00000168036","ENSG00000137693","0.986198"
"ENSG00000141510","ENSG00000143799","0.998736"
"ENSG00000168036","ENSG00000089159","0.999485"
"ENSG00000186298","ENSG00000141510","0.999558"
"ENSG00000132535","ENSG00000176884","0.999"
"ENSG00000172531","ENSG00000100030","0.998844"
"ENSG00000096717","ENSG00000141027","0.999381"
"ENSG00000166598","ENSG00000146648","0.9966"
"ENSG00000134001","ENSG00000101266","0.984383"
"ENSG00000141367","ENSG00000072062","0.994922"
"ENSG00000142208","ENSG00000112062","0.990519"
"ENSG00000149311","ENSG00000172531","0.99042"
"ENSG00000082701","ENSG00000072062","0.993473"
"ENSG00000114166","ENSG00000005339","0.99744"
"ENSG00000147065","ENSG00000123374","0.987285"
"ENSG00000168036","ENSG00000080824","0.982002"
"ENSG00000197122","ENSG00000097007","0.998749"
"ENSG00000135446","ENSG00000186298","0.998685"
"ENSG00000092820","ENSG00000137710","0.999905"
"ENSG00000165119","ENSG00000164924","0.98434"
"ENSG00000082701","ENSG00000137764","0.991564"
"ENSG00000162521","ENSG00000167986","0.987529"
"ENSG00000132155","ENSG00000146648","0.984028"
"ENSG00000204209","ENSG00000005339","0.999101"
"ENSG00000105974","ENSG00000168036","0.998774"
"ENSG00000072062","ENSG00000039068","0.992065"
"ENSG00000178568","ENSG00000146648","0.996183"
"ENSG00000067369","ENSG00000012048","0.985598"
"ENSG00000105810","ENSG00000124762","0.998933"
"ENSG00000067369","ENSG00000132341","0.986413"
"ENSG00000142192","ENSG00000176884","0.998677"
"ENSG00000150995","ENSG00000141736","0.987044"
"ENSG00000171862","ENSG00000089159","0.988061"
"ENSG00000156467","ENSG00000188906","0.997897"
"ENSG00000177606","ENSG00000135679","0.997246"
"ENSG00000135679","ENSG00000122406","0.996524"
"ENSG00000136997","ENSG00000004487","0.983757"
"ENSG00000141510","ENSG00000116478","0.999529"
"ENSG00000135679","ENSG00000183765","0.994156"
"ENSG00000106462","ENSG00000004487","0.990182"
"ENSG00000114166","ENSG00000100393","0.999718"
"ENSG00000168610","ENSG00000136807","0.993502"
"ENSG00000186868","ENSG00000204843","0.998257"
"ENSG00000067560","ENSG00000142192","0.987192"
"ENSG00000169032","ENSG00000087586","0.997491"
"ENSG00000198909","ENSG00000196230","0.996559"
"ENSG00000160691","ENSG00000171105","0.994328"
"ENSG00000197122","ENSG00000165119","0.986636"
"ENSG00000110092","ENSG00000012048","0.992597"
"ENSG00000103275","ENSG00000165119","0.997154"
"ENSG00000146648","ENSG00000091831","0.9945"
"ENSG00000197122","ENSG00000075624","0.991314"
"ENSG00000143013","ENSG00000132646","0.981318"
"ENSG00000091831","ENSG00000160691","0.992245"
