ID,logFC_SNCA_Apex,Direction_SNCA_DEG,logFC_SNCA_Pvalue,custom_color_test
ENSG00000072110,0.46175,0,0.978974117,blue
ENSG00000166200,0.34325,0,0.968760544,green
ENSG00000134265,0.38975,0,0.964089462,red
ENSG00000146676,0.34725,0,0.955002019,yellow
ENSG00000007168,0.34075,0,0.951317995,blue
ENSG00000110619,0.35075,0,0.951317995,green
ENSG00000163399,0.38725,0,0.950992312,red
ENSG00000102241,0.42125,0,0.94616943,yellow
ENSG00000132434,0.33825,0,0.94616943,blue
ENSG00000101367,0.35325,0,0.939614764,green
ENSG00000163618,0.35275,0,0.939614764,red
ENSG00000082805,0.33575,0,0.931179078,yellow
ENSG00000175203,0.34025,0,0.92478444,blue
ENSG00000143549,0.33625,0,0.915813457,green
ENSG00000100280,0.32775,0,0.913683601,red
ENSG00000115866,0.34675,0,0.913683601,yellow
ENSG00000172531,0.42575,0,0.913683601,blue
ENSG00000033627,0.33075,0,0.913683601,green
ENSG00000128050,0.35175,0,0.913683601,red
ENSG00000168036,0.32875,0,0.90684103,yellow
ENSG00000142230,0.32175,0,0.899984401,blue
ENSG00000166986,0.32125,0,0.897424462,green
ENSG00000183020,0.32675,0,0.89703611,red
ENSG00000116675,0.35125,0,0.89703611,yellow
ENSG00000176788,0.32775,0,0.89703611,blue
ENSG00000150753,0.32425,0,0.896379734,green
ENSG00000108819,0.35625,0,0.893027159,red
ENSG00000075340,0.32425,0,0.891996286,yellow
ENSG00000166165,0.31775,0,0.889824747,blue
ENSG00000104093,0.31675,0,0.887926668,green
ENSG00000105576,0.41725,0,0.878564314,red
ENSG00000124181,0.33175,0,0.875908505,yellow
ENSG00000085733,0.34325,0,0.874132651,blue
ENSG00000138279,0.33575,0,0.859689018,green
ENSG00000132639,0.30725,0,0.85940495,red
ENSG00000136754,0.34775,0,0.850610551,yellow
ENSG00000088247,0.30325,0,0.849889097,blue
ENSG00000130477,0.30375,0,0.83849925,green
ENSG00000171497,0.32925,0,0.829994841,red
ENSG00000067191,0.30525,0,0.828034832,yellow
ENSG00000100462,0.31825,0,0.82602866,blue
ENSG00000069329,0.29225,0,0.818889004,green
ENSG00000175387,0.35575,0,0.818497604,red
ENSG00000173611,0.30575,0,0.815034863,yellow
ENSG00000110171,0.30025,0,0.809174957,blue
ENSG00000105185,0.30275,0,0.80548106,green
ENSG00000130402,0.29725,0,0.79553195,red
ENSG00000112379,0.30825,0,0.787947141,yellow
ENSG00000111530,0.29075,0,0.782431979,blue
ENSG00000100353,0.34275,0,0.780171931,green
ENSG00000096401,0.44975,0,0.778537244,red
ENSG00000239900,0.27975,0,0.778537244,yellow
ENSG00000129951,0.35375,0,0.775254475,blue
ENSG00000147416,0.32725,0,0.775208556,green
ENSG00000110048,0.30175,0,0.758541665,red
ENSG00000100380,0.39825,0,0.75678606,yellow
ENSG00000166233,0.27725,0,0.740456034,blue
ENSG00000185189,0.29375,0,0.73883789,green
ENSG00000116337,0.31225,0,0.73883789,red
ENSG00000137100,0.41475,0,0.737927429,yellow
ENSG00000148341,0.31275,0,0.727079127,blue
ENSG00000116001,0.29475,0,0.721355482,green
ENSG00000065548,0.34875,0,0.711999281,red
ENSG00000101654,0.28475,0,0.711999281,yellow
ENSG00000143153,0.26225,0,0.706755572,blue
ENSG00000136238,0.26125,0,0.702878832,green
ENSG00000029725,0.29075,0,0.702774848,red
ENSG00000175582,0.29175,0,0.702414747,yellow
ENSG00000116521,0.25225,0,0.693886404,blue
ENSG00000103034,0.25475,0,0.687290863,green
ENSG00000100884,0.25075,0,0.67946809,red
