ID,custom_color,
ENSG00000119689,magenta,
ENSG00000110435,magenta,
ENSG00000168827,magenta,
ENSG00000143158,magenta,
ENSG00000023228,magenta,
ENSG00000259494,magenta,
ENSG00000075415,magenta,
ENSG00000181610,magenta,
ENSG00000091483,magenta,
ENSG00000165688,magenta,
ENSG00000184076,magenta,
ENSG00000135070,magenta,
ENSG00000136143,magenta,
ENSG00000132423,magenta,
ENSG00000067704,magenta,
ENSG00000116898,magenta,
ENSG00000166411,magenta,
ENSG00000166260,magenta,
ENSG00000171503,magenta,
ENSG00000134809,magenta,
ENSG00000130312,magenta,
ENSG00000112651,magenta,
ENSG00000248098,magenta,
ENSG00000173660,magenta,
ENSG00000146066,magenta,
ENSG00000127884,magenta,
ENSG00000050426,magenta,
ENSG00000111775,magenta,
ENSG00000014919,magenta,
ENSG00000141385,magenta,
ENSG00000084754,magenta,
ENSG00000140374,magenta,
ENSG00000115286,magenta,
ENSG00000157184,magenta,
ENSG00000083123,magenta,
ENSG00000101365,magenta,
ENSG00000011376,magenta,
ENSG00000122971,magenta,
ENSG00000168924,magenta,
ENSG00000198836,magenta,
ENSG00000148090,magenta,
ENSG00000163541,magenta,
ENSG00000178127,magenta,
ENSG00000119723,magenta,
ENSG00000055950,magenta,
ENSG00000106077,magenta,
ENSG00000154723,magenta,
ENSG00000166136,magenta,
ENSG00000255339,magenta,
ENSG00000196365,magenta,
ENSG00000091140,magenta,
ENSG00000156709,magenta,
ENSG00000134463,magenta,
ENSG00000155008,magenta,
ENSG00000159111,magenta,
ENSG00000148187,magenta,
ENSG00000110717,magenta,
ENSG00000117054,magenta,
ENSG00000132305,magenta,
ENSG00000100575,magenta,
ENSG00000151729,magenta,
ENSG00000100347,magenta,
ENSG00000158864,magenta,
ENSG00000167792,magenta,
ENSG00000100412,magenta,
ENSG00000156502,magenta,
ENSG00000066926,magenta,
ENSG00000085760,magenta,
ENSG00000167085,magenta,
ENSG00000198130,magenta,
ENSG00000122140,magenta,
ENSG00000113013,magenta,
ENSG00000148290,magenta,
ENSG00000165672,magenta,
ENSG00000165678,magenta,
ENSG00000151806,magenta,
ENSG00000099800,magenta,
ENSG00000214113,magenta,
ENSG00000166902,magenta,
ENSG00000185608,magenta,
ENSG00000067829,magenta,
ENSG00000143252,magenta,
ENSG00000136521,magenta,
ENSG00000167985,magenta,
ENSG00000256591,magenta,
ENSG00000135469,magenta,
ENSG00000100348,magenta,
ENSG00000096080,magenta,
ENSG00000164919,magenta,
ENSG00000147684,magenta,
ENSG00000109919,magenta,
ENSG00000184983,magenta,
ENSG00000178537,magenta,
ENSG00000169288,magenta,
ENSG00000104980,magenta,
ENSG00000138495,magenta,
ENSG00000112096,magenta,
ENSG00000126267,magenta,
ENSG00000213585,magenta,
ENSG00000125656,magenta,
ENSG00000138796,magenta,
ENSG00000115361,magenta,
ENSG00000075239,magenta,
ENSG00000156928,magenta,
ENSG00000166855,magenta,
