node1_eid,node2_eid,score
ENSG00000188906,ENSG00000145335,0.95239475275919
ENSG00000126581,ENSG00000168610,0.934451601239323
ENSG00000254647,ENSG00000142192,0.934451601239323
ENSG00000113645,ENSG00000142192,0.924828294697029
ENSG00000127445,ENSG00000141867,0.919834644207031
ENSG00000188906,ENSG00000242247,0.886885120604828
ENSG00000188906,ENSG00000186868,0.880815759921051
ENSG00000188906,ENSG00000154229,0.880815759921051
ENSG00000179295,ENSG00000168610,0.880815759921051
ENSG00000188906,ENSG00000145335,0.868086268572417
ENSG00000136997,ENSG00000141867,0.847305101776002
ENSG00000182578,ENSG00000142192,0.839861250102856
ENSG00000142192,ENSG00000123384,0.839861250102856
ENSG00000148053,ENSG00000142192,0.839861250102856
ENSG00000186318,ENSG00000142192,0.839861250102856
ENSG00000168610,ENSG00000141510,0.824073733796439
ENSG00000100292,ENSG00000125538,0.824073733796439
ENSG00000154277,ENSG00000142192,0.824073733796439
ENSG00000186868,ENSG00000142192,0.824073733796439
ENSG00000168610,ENSG00000124762,0.815679332530404
ENSG00000188906,ENSG00000161011,0.806911726500654
ENSG00000198793,ENSG00000142192,0.806911726500654
ENSG00000254647,ENSG00000142192,0.806911726500654
ENSG00000133116,ENSG00000142192,0.806911726500654
ENSG00000123384,ENSG00000142192,0.806911726500654
ENSG00000142192,ENSG00000120129,0.797736181010537
ENSG00000142192,ENSG00000111737,0.797736181010537
ENSG00000168610,ENSG00000160182,0.788112874468243
ENSG00000114166,ENSG00000123374,0.788112874468243
ENSG00000102081,ENSG00000168610,0.788112874468243
ENSG00000188906,ENSG00000104290,0.788112874468243
ENSG00000168610,ENSG00000030582,0.788112874468243
ENSG00000136244,ENSG00000168610,0.788112874468243
ENSG00000130203,ENSG00000142192,0.788112874468243
ENSG00000096717,ENSG00000142192,0.788112874468243
ENSG00000040608,ENSG00000142192,0.788112874468243
ENSG00000142192,ENSG00000131095,0.788112874468243
ENSG00000176884,ENSG00000142192,0.788112874468243
ENSG00000142192,ENSG00000186868,0.788112874468243
ENSG00000142192,ENSG00000134259,0.788112874468243
ENSG00000134259,ENSG00000142192,0.788112874468243
ENSG00000120948,ENSG00000186868,0.788112874468243
ENSG00000132356,ENSG00000147162,0.788112874468243
ENSG00000188906,ENSG00000169398,0.788112874468243
ENSG00000166123,ENSG00000168610,0.777995853878982
ENSG00000188906,ENSG00000091106,0.777995853878982
ENSG00000108342,ENSG00000010610,0.777995853878982
ENSG00000167701,ENSG00000168610,0.777995853878982
ENSG00000116478,ENSG00000168610,0.767331707671827
ENSG00000136244,ENSG00000100292,0.767331707671827
ENSG00000073756,ENSG00000100292,0.767331707671827
ENSG00000120899,ENSG00000100292,0.767331707671827
ENSG00000111537,ENSG00000168610,0.767331707671827
ENSG00000168610,ENSG00000169429,0.767331707671827
ENSG00000130203,ENSG00000142192,0.767331707671827
ENSG00000130203,ENSG00000142192,0.767331707671827
ENSG00000145335,ENSG00000142192,0.767331707671827
