"Node1","Node2","Score"
"ENSG00000106546","ENSG00000116044","0.3"
"ENSG00000048052","ENSG00000174697","0.3"
"ENSG00000136826","ENSG00000065989","0.1"
"ENSG00000091831","ENSG00000126351","0.2"
"ENSG00000123374","ENSG00000170606","0.2"
"ENSG00000126767","ENSG00000112062","0.1"
"ENSG00000168610","ENSG00000291237","0.3"
"ENSG00000136869","ENSG00000109819","0.3"
"ENSG00000164736","ENSG00000067225","0.2"
"ENSG00000112062","ENSG00000145675","0.2"
"ENSG00000010610","ENSG00000165025","0.2"
"ENSG00000148400","ENSG00000113263","0.1"
"ENSG00000121481","ENSG00000109819","0.2"
"ENSG00000169057","ENSG00000118260","0.9"
"ENSG00000145675","ENSG00000169047","0.2"
"ENSG00000136997","ENSG00000125845","0.1"
"ENSG00000115415","ENSG00000142192","0.1"
"ENSG00000180210","ENSG00000140443","0.2"
"ENSG00000106546","ENSG00000114166","0.1"
"ENSG00000180210","ENSG00000106366","0.2"
"ENSG00000148400","ENSG00000232810","0.2"
"ENSG00000100030","ENSG00000172757","0.2"
"ENSG00000106546","ENSG00000065989","0.2"
"ENSG00000064300","ENSG00000142192","0.3"
"ENSG00000113916","ENSG00000112062","0.2"
"ENSG00000132170","ENSG00000131910","0.2"
"ENSG00000148400","ENSG00000134308","0.1"
"ENSG00000164736","ENSG00000091831","0.3"
"ENSG00000207935","ENSG00000140443","0.2"
"ENSG00000115415","ENSG00000100644","1"
"ENSG00000162909","ENSG00000145675","0.3"
"ENSG00000140009","ENSG00000169429","0.2"
"ENSG00000091831","ENSG00000106366","0.9"
"ENSG00000136238","ENSG00000111640","0.3"
"ENSG00000169083","ENSG00000136869","0.2"
"ENSG00000100644","ENSG00000097007","0.2"
"ENSG00000136869","ENSG00000140009","0.3"
"ENSG00000116044","ENSG00000197122","0.2"
"ENSG00000179348","ENSG00000110092","0.2"
"ENSG00000106546","ENSG00000125166","0.1"
"ENSG00000148400","ENSG00000033800","0.1"
"ENSG00000131759","ENSG00000196689","0.1"
"ENSG00000207935","ENSG00000110092","0.2"
"ENSG00000159216","ENSG00000097007","0.2"
"ENSG00000091831","ENSG00000137486","0.3"
"ENSG00000100030","ENSG00000140009","0.3"
"ENSG00000116044","ENSG00000180530","0.2"
"ENSG00000091831","ENSG00000130203","0.1"
"ENSG00000185811","ENSG00000118515","0.2"
"ENSG00000168036","ENSG00000023445","0.2"
"ENSG00000096717","ENSG00000082701","0.3"
"ENSG00000114166","ENSG00000168036","0.2"
"ENSG00000080815","ENSG00000176884","0.3"
"ENSG00000140009","ENSG00000123454","0.3"
"ENSG00000232810","ENSG00000113575","0.3"
"ENSG00000151490","ENSG00000133216","0.3"
"ENSG00000174697","ENSG00000154229","0.2"
"ENSG00000154229","ENSG00000075624","0.3"
"ENSG00000167244","ENSG00000254647","0.2"
"ENSG00000106546","ENSG00000161011","0.1"
"ENSG00000118515","ENSG00000170606","0.2"
"ENSG00000116030","ENSG00000048052","0.2"
"ENSG00000171720","ENSG00000185811","0.2"
"ENSG00000198400","ENSG00000164885","0.3"
"ENSG00000137486","ENSG00000162772","0.2"
"ENSG00000169057","ENSG00000254647","0.3"
"ENSG00000136997","ENSG00000134250","0.2"
"ENSG00000136997","ENSG00000109471","0.1"
"ENSG00000112658","ENSG00000140009","0.2"
"ENSG00000197122","ENSG00000091831","0.9"
"ENSG00000112062","ENSG00000033800","0.2"
"ENSG00000131759","ENSG00000171094","0.2"
"ENSG00000137090","ENSG00000169047","0.2"
"ENSG00000148400","ENSG00000197122","0.1"
"ENSG00000136826","ENSG00000120899","0.2"
"ENSG00000065978","ENSG00000068028","0.2"
"ENSG00000140009","ENSG00000109819","0.2"
"ENSG00000145675","ENSG00000107643","0.2"
"ENSG00000065978","ENSG00000180210","0.1"
"ENSG00000154727","ENSG00000141510","0.1"
"ENSG00000164736","ENSG00000113575","0.2"
"ENSG00000091831","ENSG00000109819","0.3"
"ENSG00000164885","ENSG00000082701","0.2"
"ENSG00000109819","ENSG00000186951","0.3"
"ENSG00000140009","ENSG00000168036","0.9"
"ENSG00000121481","ENSG00000113575","0.2"
"ENSG00000125398","ENSG00000242252","0.3"
"ENSG00000159216","ENSG00000137090","0.1"
"ENSG00000123374","ENSG00000087586","0.3"
"ENSG00000004487","ENSG00000232810","0.3"
"ENSG00000168036","ENSG00000181449","0.3"
"ENSG00000121879","ENSG00000169398","0.3"
"ENSG00000131759","ENSG00000179295","0.1"
"ENSG00000197122","ENSG00000112658","0.2"
"ENSG00000159216","ENSG00000159217","0.2"
"ENSG00000125166","ENSG00000186868","0.2"
"ENSG00000140443","ENSG00000146648","0.2"
"ENSG00000232810","ENSG00000103266","0.3"
"ENSG00000148400","ENSG00000120948","0.1"
"ENSG00000232810","ENSG00000254647","0.3"
"ENSG00000159216","ENSG00000136869","0.1"
"ENSG00000131910","ENSG00000175104","0.3"
"ENSG00000118260","ENSG00000170606","0.2"
"ENSG00000111640","ENSG00000197442","0.3"
"ENSG00000065978","ENSG00000065989","0.1"
"ENSG00000169083","ENSG00000100030","0.1"
"ENSG00000185811","ENSG00000133216","0.2"
"ENSG00000114166","ENSG00000067082","0.2"
"ENSG00000170312","ENSG00000136997","0.2"
"ENSG00000136869","ENSG00000107643","0.9"
