Node_1,Node_2,Score
ENSG00000158828,ENSG00000017427,0.010638298
ENSG00000158828,ENSG00000204227,0.010638298
ENSG00000158828,ENSG00000184584,0.010638298
ENSG00000158828,ENSG00000163138,0.010638298
ENSG00000158828,ENSG00000166825,0.010638298
ENSG00000158828,ENSG00000163528,0.010638298
ENSG00000158828,ENSG00000154174,0.010638298
ENSG00000158828,ENSG00000169710,0.010638298
ENSG00000158828,ENSG00000108771,0.010638298
ENSG00000158828,ENSG00000283844,0.010638298
ENSG00000158828,ENSG00000122873,0.010638298
ENSG00000158828,ENSG00000116329,0.010638298
ENSG00000158828,ENSG00000100219,0.010638298
ENSG00000158828,ENSG00000060656,0.010638298
ENSG00000158828,ENSG00000157540,0.010638298
ENSG00000158828,ENSG00000072518,0.010638298
ENSG00000158828,ENSG00000100216,0.010638298
ENSG00000158828,ENSG00000128272,0.010638298
ENSG00000158828,ENSG00000075415,0.010638298
ENSG00000158828,ENSG00000141867,0.010638298
ENSG00000158828,ENSG00000103266,0.010638298
ENSG00000158828,ENSG00000165283,0.010638298
ENSG00000158828,ENSG00000158315,0.010638298
ENSG00000158828,ENSG00000164850,0.010638298
ENSG00000158828,ENSG00000149311,0.010638298
ENSG00000158828,ENSG00000135698,0.010638298
ENSG00000158828,ENSG00000111206,0.010638298
ENSG00000158828,ENSG00000136997,0.010638298
ENSG00000158828,ENSG00000165280,0.010638298
ENSG00000158828,ENSG00000115520,0.010638298
ENSG00000158828,ENSG00000204842,0.010638298
ENSG00000158828,ENSG00000165731,0.010638298
ENSG00000158828,ENSG00000168621,0.010638298
ENSG00000158828,ENSG00000213927,0.010638298
ENSG00000158828,ENSG00000265354,0.010638298
ENSG00000158828,ENSG00000221983,0.010638298
ENSG00000158828,ENSG00000113721,0.010638298
ENSG00000158828,ENSG00000142208,0.010638298
ENSG00000158828,ENSG00000136881,0.010638298
ENSG00000158828,ENSG00000196735,0.010638298
ENSG00000158828,ENSG00000146414,0.010638298
ENSG00000158828,ENSG00000197548,0.010638298
ENSG00000158828,ENSG00000109819,0.010638298
ENSG00000158828,ENSG00000136238,0.010638298
ENSG00000158828,ENSG00000126456,0.010638298
ENSG00000158828,ENSG00000012048,0.010638298
ENSG00000158828,ENSG00000111537,0.010638298
ENSG00000158828,ENSG00000064692,0.010638298
ENSG00000158828,ENSG00000105655,0.010638298
ENSG00000158828,ENSG00000239732,0.010638298
ENSG00000158828,ENSG00000131323,0.010638298
ENSG00000158828,ENSG00000107201,0.010638298
ENSG00000158828,ENSG00000131055,0.010638298
ENSG00000158828,ENSG00000132906,0.010638298
ENSG00000158828,ENSG00000113013,0.010638298
ENSG00000158828,ENSG00000185532,0.010638298
ENSG00000158828,ENSG00000180210,0.010638298
ENSG00000158828,ENSG00000005893,0.005319149
ENSG00000158828,ENSG00000213886,0.005319149
ENSG00000158828,ENSG00000119383,0.005319149
ENSG00000158828,ENSG00000213221,0.005319149
ENSG00000158828,ENSG00000197122,0.005319149
ENSG00000158828,ENSG00000129910,0.005319149
ENSG00000158828,ENSG00000182199,0.005319149
ENSG00000158828,ENSG00000144736,0.005319149
ENSG00000158828,ENSG00000170776,0.005319149
ENSG00000158828,ENSG00000138592,0.005319149
ENSG00000158828,ENSG00000145777,0.005319149
ENSG00000158828,ENSG00000073756,0.005319149
ENSG00000158828,ENSG00000165672,0.005319149
ENSG00000158828,ENSG00000057252,0.005319149
ENSG00000158828,ENSG00000118432,0.005319149
ENSG00000158828,ENSG00000204463,0.005319149
ENSG00000158828,ENSG00000134072,0.005319149
ENSG00000158828,ENSG00000068366,0.005319149
ENSG00000158828,ENSG00000111077,0.005319149
ENSG00000158828,ENSG00000179921,0.005319149
ENSG00000158828,ENSG00000140718,0.005319149
ENSG00000158828,ENSG00000163719,0.005319149
ENSG00000158828,ENSG00000165678,0.005319149
ENSG00000158828,ENSG00000133116,0.005319149
ENSG00000158828,ENSG00000178607,0.005319149
ENSG00000158828,ENSG00000172889,0.005319149
ENSG00000158828,ENSG00000168229,0.005319149
ENSG00000158828,ENSG00000148848,0.005319149
ENSG00000158828,ENSG00000130203,0.005319149
ENSG00000158828,ENSG00000080802,0.005319149
ENSG00000158828,ENSG00000164163,0.005319149
ENSG00000158828,ENSG00000152684,0.005319149
ENSG00000158828,ENSG00000076242,0.005319149
ENSG00000158828,ENSG00000044574,0.005319149
ENSG00000158828,ENSG00000138600,0.005319149
ENSG00000158828,ENSG00000117592,0.005319149
ENSG00000158828,ENSG00000115138,0.005319149
ENSG00000158828,ENSG00000101161,0.005319149
ENSG00000158828,ENSG00000068024,0.005319149
ENSG00000158828,ENSG00000100505,0.005319149
ENSG00000158828,ENSG00000154277,0.005319149
ENSG00000158828,ENSG00000136936,0.005319149
ENSG00000158828,ENSG00000148400,0.005319149
ENSG00000158828,ENSG00000069329,0.005319149
ENSG00000158828,ENSG00000100347,0.005319149
ENSG00000158828,ENSG00000100811,0.005319149
ENSG00000158828,ENSG00000112164,0.005319149
ENSG00000158828,ENSG00000198060,0.005319149
ENSG00000158828,ENSG00000072042,0.005319149
ENSG00000158828,ENSG00000135655,0.005319149
ENSG00000158828,ENSG00000207935,0.005319149
ENSG00000158828,ENSG00000134107,0.005319149
ENSG00000158828,ENSG00000147862,0.005319149
ENSG00000158828,ENSG00000164683,0.005319149
ENSG00000158828,ENSG00000005882,0.005319149
ENSG00000158828,ENSG00000160856,0.005319149
ENSG00000158828,ENSG00000083123,0.005319149
ENSG00000158828,ENSG00000283904,0.005319149
ENSG00000158828,ENSG00000284353,0.005319149
ENSG00000158828,ENSG00000185633,0.005319149
ENSG00000158828,ENSG00000250479,0.005319149
ENSG00000158828,ENSG00000199121,0.005319149
ENSG00000158828,ENSG00000153774,0.005319149
ENSG00000158828,ENSG00000108830,0.005319149
ENSG00000158828,ENSG00000149418,0.005319149
ENSG00000158828,ENSG00000172757,0.005319149
ENSG00000158828,ENSG00000134817,0.005319149
ENSG00000158828,ENSG00000112208,0.005319149
ENSG00000158828,ENSG00000112033,0.005319149
ENSG00000158828,ENSG00000089154,0.005319149
ENSG00000158828,ENSG00000207816,0.005319149
ENSG00000158828,ENSG00000198995,0.005319149
ENSG00000158828,ENSG00000197785,0.005319149
ENSG00000158828,ENSG00000167996,0.005319149
ENSG00000158828,ENSG00000162552,0.005319149
ENSG00000158828,ENSG00000175567,0.005319149
ENSG00000158828,ENSG00000081181,0.005319149
ENSG00000158828,ENSG00000167850,0.005319149
ENSG00000158828,ENSG00000198125,0.005319149
ENSG00000158828,ENSG00000265972,0.005319149
ENSG00000158828,ENSG00000198650,0.005319149
ENSG00000158828,ENSG00000112115,0.005319149
ENSG00000158828,ENSG00000170430,0.005319149
ENSG00000158828,ENSG00000129152,0.005319149
ENSG00000158828,ENSG00000164362,0.005319149
ENSG00000158828,ENSG00000086758,0.005319149
ENSG00000158828,ENSG00000215182,0.005319149
ENSG00000158828,ENSG00000145850,0.005319149
ENSG00000158828,ENSG00000102048,0.005319149
ENSG00000158828,ENSG00000007237,0.005319149
ENSG00000158828,ENSG00000102125,0.005319149
ENSG00000158828,ENSG00000171791,0.005319149
ENSG00000158828,ENSG00000116030,0.005319149
ENSG00000158828,ENSG00000198796,0.005319149
ENSG00000158828,ENSG00000105810,0.005319149
ENSG00000158828,ENSG00000092200,0.005319149
ENSG00000158828,ENSG00000148773,0.005319149
ENSG00000158828,ENSG00000172137,0.005319149
ENSG00000158828,ENSG00000112561,0.005319149
ENSG00000158828,ENSG00000134001,0.005319149
ENSG00000158828,ENSG00000115526,0.005319149
ENSG00000158828,ENSG00000170889,0.005319149
ENSG00000158828,ENSG00000121957,0.005319149
ENSG00000158828,ENSG00000116741,0.005319149
ENSG00000158828,ENSG00000072310,0.005319149
ENSG00000158828,ENSG00000178951,0.005319149
ENSG00000158828,ENSG00000143727,0.005319149
ENSG00000158828,ENSG00000196365,0.005319149
ENSG00000158828,ENSG00000145321,0.005319149
ENSG00000158828,ENSG00000156709,0.005319149
ENSG00000158828,ENSG00000115687,0.005319149
ENSG00000158828,ENSG00000196470,0.005319149
ENSG00000158828,ENSG00000178860,0.005319149
ENSG00000158828,ENSG00000181555,0.005319149
ENSG00000158828,ENSG00000133216,0.005319149
ENSG00000158828,ENSG00000100253,0.005319149
ENSG00000158828,ENSG00000163631,0.005319149
ENSG00000158828,ENSG00000136758,0.005319149
ENSG00000158828,ENSG00000199075,0.005319149
ENSG00000158828,ENSG00000058729,0.005319149
ENSG00000158828,ENSG00000221120,0.005319149
ENSG00000158828,ENSG00000137409,0.005319149
ENSG00000158828,ENSG00000171759,0.005319149
ENSG00000158828,ENSG00000140459,0.005319149
ENSG00000158828,ENSG00000139618,0.005319149
ENSG00000158828,ENSG00000208036,0.005319149
ENSG00000158828,ENSG00000175592,0.005319149
ENSG00000158828,ENSG00000198821,0.005319149
ENSG00000158828,ENSG00000135346,0.005319149
ENSG00000158828,ENSG00000170606,0.005319149
ENSG00000158828,ENSG00000100697,0.005319149
ENSG00000158828,ENSG00000164938,0.005319149
ENSG00000158828,ENSG00000165775,0.005319149
ENSG00000158828,ENSG00000069509,0.005319149
ENSG00000158828,ENSG00000060237,0.005319149
ENSG00000158828,ENSG00000159082,0.005319149
ENSG00000158828,ENSG00000124767,0.005319149
ENSG00000158828,ENSG00000149187,0.005319149
ENSG00000158828,ENSG00000067064,0.005319149
ENSG00000158828,ENSG00000167965,0.005319149
ENSG00000158828,ENSG00000161533,0.005319149
ENSG00000158828,ENSG00000108443,0.005319149
ENSG00000158828,ENSG00000079999,0.005319149
ENSG00000158828,ENSG00000117602,0.005319149
ENSG00000158828,ENSG00000099991,0.005319149
ENSG00000158828,ENSG00000196408,0.005319149
ENSG00000158828,ENSG00000133318,0.005319149
ENSG00000158828,ENSG00000103121,0.005319149
ENSG00000158828,ENSG00000167468,0.005319149
ENSG00000158828,ENSG00000002330,0.005319149
ENSG00000158828,ENSG00000213619,0.005319149
