ID,custom_color_vesicle_transport
ENSG00000153130,Red
ENSG00000249884,Red
ENSG00000131475,Red
ENSG00000130475,Red
ENSG00000029725,Red
ENSG00000124222,Red
ENSG00000099940,Red
ENSG00000101199,Red
ENSG00000125814,Red
ENSG00000010327,Red
ENSG00000073921,Red
ENSG00000264364,Red
ENSG00000113615,Red
ENSG00000142208,Red
ENSG00000166747,Red
ENSG00000137877,Red
ENSG00000133103,Red
ENSG00000075785,Red
ENSG00000011454,Red
ENSG00000167461,Red
ENSG00000169727,Red
ENSG00000089177,Red
ENSG00000100228,Red
ENSG00000100342,Red
ENSG00000166847,Red
ENSG00000136874,Red
ENSG00000008256,Red
ENSG00000087086,Red
ENSG00000170471,Red
ENSG00000198837,Red
ENSG00000081014,Red
ENSG00000085063,Red
ENSG00000196169,Red
ENSG00000184432,Red
ENSG00000150527,Red
ENSG00000100934,Red
ENSG00000095139,Red
ENSG00000145362,Red
ENSG00000130724,Red
ENSG00000220205,Red
ENSG00000047579,Red
ENSG00000141971,Red
ENSG00000275954,Red
ENSG00000189114,Red
ENSG00000177885,Red
ENSG00000130294,Red
ENSG00000157107,Red
ENSG00000065882,Red
ENSG00000106976,Red
ENSG00000150991,Red
ENSG00000205744,Red
ENSG00000197249,Red
ENSG00000115306,Red
ENSG00000132254,Red
ENSG00000136883,Red
ENSG00000178950,Red
ENSG00000135775,Red
ENSG00000196547,Red
ENSG00000072134,Red
ENSG00000136011,Red
ENSG00000146574,Red
ENSG00000107651,Red
ENSG00000003056,Red
ENSG00000167987,Red
ENSG00000117020,Red
ENSG00000069974,Red
ENSG00000084731,Red
ENSG00000109321,Red
ENSG00000084733,Red
ENSG00000177169,Red
ENSG00000127328,Red
ENSG00000108582,Red
ENSG00000108587,Red
ENSG00000138160,Red
ENSG00000134871,Red
ENSG00000066455,Red
ENSG00000079616,Red
ENSG00000073969,Red
ENSG00000068781,Red
ENSG00000143786,Red
ENSG00000148248,Red
ENSG00000135720,Red
ENSG00000174804,Red
ENSG00000144891,Red
ENSG00000077549,Red
ENSG00000168118,Red
ENSG00000174808,Red
ENSG00000221983,Red
ENSG00000114354,Red
ENSG00000138768,Red
ENSG00000074660,Red
ENSG00000127527,Red
ENSG00000119541,Red
ENSG00000136152,Red
ENSG00000138760,Red
ENSG00000164292,Red
ENSG00000134594,Red
ENSG00000126895,Red
ENSG00000144674,Red
ENSG00000169562,Red
ENSG00000100478,Red
ENSG00000124507,Red
ENSG00000164597,Red
ENSG00000177938,Red
ENSG00000181789,Red
ENSG00000104671,Red
ENSG00000144747,Red
ENSG00000111481,Red
ENSG00000007255,Red
ENSG00000121542,Red
ENSG00000157020,Red
ENSG00000149823,Red
ENSG00000123240,Red
ENSG00000122705,Red
ENSG00000134970,Red
ENSG00000131437,Red
ENSG00000104915,Red
ENSG00000073060,Red
ENSG00000011405,Red
ENSG00000143952,Red
ENSG00000152700,Red
ENSG00000196586,Red
ENSG00000131791,Red
ENSG00000243244,Red
ENSG00000099992,Red
ENSG00000004975,Red
ENSG00000165219,Red
ENSG00000126214,Red
ENSG00000188419,Red
ENSG00000138182,Red
ENSG00000147010,Red
ENSG00000137807,Red
ENSG00000184381,Red
ENSG00000188559,Red
ENSG00000132669,Red
ENSG00000144524,Red
ENSG00000107185,Red
ENSG00000197081,Red
ENSG00000132842,Red
ENSG00000166557,Red
ENSG00000114270,Red
ENSG00000187498,Red
ENSG00000204070,Red
ENSG00000108669,Red
ENSG00000105339,Red
ENSG00000111725,Red
ENSG00000164077,Red
ENSG00000113282,Red
ENSG00000177879,Red
ENSG00000140022,Red
ENSG00000198612,Red
ENSG00000198668,Red
ENSG00000106927,Red
ENSG00000151779,Red
ENSG00000112984,Red
ENSG00000147127,Red
ENSG00000185963,Red
ENSG00000125447,Red
ENSG00000029534,Red
ENSG00000160014,Red
ENSG00000101350,Red
ENSG00000226650,Red
ENSG00000170743,Red
ENSG00000107295,Red
ENSG00000149182,Red
ENSG00000152291,Red
ENSG00000153071,Red
ENSG00000160218,Red
ENSG00000160216,Red
ENSG00000134308,Red
ENSG00000067715,Red
ENSG00000170348,Red
ENSG00000004059,Red
ENSG00000079805,Red
ENSG00000107521,Red
ENSG00000187239,Red
ENSG00000261701,Red
ENSG00000141367,Red
ENSG00000080824,Red
ENSG00000153339,Red
ENSG00000181072,Red
ENSG00000070182,Red
ENSG00000093183,Red
ENSG00000135018,Red
ENSG00000254505,Red
ENSG00000173230,Red
ENSG00000167702,Red
ENSG00000137486,Red
ENSG00000254647,Red
ENSG00000167515,Red
ENSG00000138069,Red
ENSG00000186111,Red
ENSG00000176428,Red
ENSG00000103365,Red
ENSG00000177575,Red
ENSG00000005243,Red
ENSG00000165527,Red
ENSG00000152056,Red
ENSG00000136856,Red
ENSG00000081479,Red
ENSG00000118473,Red
ENSG00000166913,Red
ENSG00000148429,Red
ENSG00000104067,Red
ENSG00000132405,Red
ENSG00000116675,Red
ENSG00000010610,Red
ENSG00000134644,Red
ENSG00000143761,Red
ENSG00000116852,Red
ENSG00000173432,Red
ENSG00000106367,Red
ENSG00000162777,Red
ENSG00000149428,Red
ENSG00000076554,Red
ENSG00000105669,Red
ENSG00000213047,Red
ENSG00000078053,Red
ENSG00000100241,Red
ENSG00000155511,Red
ENSG00000187994,Red
ENSG00000149043,Red
ENSG00000162704,Red
ENSG00000080371,Red
ENSG00000085733,Red
ENSG00000108821,Red
ENSG00000170043,Red
ENSG00000100083,Red
ENSG00000108953,Red
ENSG00000105186,Red
ENSG00000113140,Red
ENSG00000170315,Red
ENSG00000072274,Red
ENSG00000138674,Red
ENSG00000205593,Red
ENSG00000100815,Red
ENSG00000167994,Red
ENSG00000167996,Red
ENSG00000105063,Red
ENSG00000134265,Red
ENSG00000134262,Red
ENSG00000054523,Red
ENSG00000182827,Red
ENSG00000174791,Red
ENSG00000239264,Red
ENSG00000109686,Red
ENSG00000178038,Red
ENSG00000179218,Red
ENSG00000184014,Red
ENSG00000057608,Red
ENSG00000118873,Red
ENSG00000119414,Red
ENSG00000139722,Red
ENSG00000173905,Red
ENSG00000138073,Red
ENSG00000138071,Red
ENSG00000197102,Red
ENSG00000107036,Red
ENSG00000181029,Red
ENSG00000091513,Red
ENSG00000115592,Red
ENSG00000068796,Red
ENSG00000185010,Red
ENSG00000174871,Red
ENSG00000213380,Red
ENSG00000221838,Red
ENSG00000138778,Red
ENSG00000106636,Red
ENSG00000118004,Red
ENSG00000160654,Red
ENSG00000137145,Red
ENSG00000206172,Red
ENSG00000107862,Red
ENSG00000146648,Red
ENSG00000122218,Red
ENSG00000141030,Red
ENSG00000138107,Red
ENSG00000136827,Red
ENSG00000074695,Red
ENSG00000136631,Red
ENSG00000165115,Red
ENSG00000196352,Red
ENSG00000137100,Red
ENSG00000244734,Red
ENSG00000125875,Red
ENSG00000168079,Red
ENSG00000174903,Red
ENSG00000038945,Red
ENSG00000100077,Red
ENSG00000122674,Red
ENSG00000143641,Red
ENSG00000065609,Red
ENSG00000123570,Red
ENSG00000003393,Red
ENSG00000115839,Red
ENSG00000181929,Red
ENSG00000109971,Red
ENSG00000116711,Red
ENSG00000197535,Red
ENSG00000143545,Red
ENSG00000118508,Red
ENSG00000111229,Red
ENSG00000163283,Red
ENSG00000163286,Red
ENSG00000118137,Red
ENSG00000257017,Red
ENSG00000138802,Red
ENSG00000115091,Red
ENSG00000100599,Red
ENSG00000196459,Red
ENSG00000146809,Red
ENSG00000120694,Red
ENSG00000121022,Red
ENSG00000186222,Red
ENSG00000132718,Red
ENSG00000179562,Red
ENSG00000137261,Red
ENSG00000108774,Red
ENSG00000078269,Red
ENSG00000159210,Red
ENSG00000099246,Red
ENSG00000141429,Red
ENSG00000241685,Red
ENSG00000187714,Red
ENSG00000171853,Red
ENSG00000185236,Red
ENSG00000130164,Red
ENSG00000163235,Red
ENSG00000053501,Red
ENSG00000120341,Red
ENSG00000115145,Red
ENSG00000137171,Red
ENSG00000168685,Red
ENSG00000170456,Red
ENSG00000086065,Red
ENSG00000185359,Red
ENSG00000101200,Red
ENSG00000241553,Red
ENSG00000006451,Red
ENSG00000170759,Red
ENSG00000086598,Red
ENSG00000182400,Red
ENSG00000141252,Red
ENSG00000146966,Red
ENSG00000075945,Red
ENSG00000179954,Red
ENSG00000157191,Red
ENSG00000169252,Red
ENSG00000129354,Red
ENSG00000141551,Red
ENSG00000115561,Red
ENSG00000146352,Red
