ID,custom_color,
ENSG00000111371,red,
ENSG00000133065,red,
ENSG00000070214,red,
ENSG00000231479,red,
ENSG00000169241,red,
ENSG00000141646,red,
ENSG00000145335,red,
ENSG00000247775,red,
ENSG00000185591,red,
ENSG00000005206,red,
ENSG00000278194,red,
ENSG00000196542,red,
ENSG00000072310,red,
ENSG00000267717,red,
ENSG00000035720,red,
ENSG00000118804,red,
ENSG00000198648,red,
ENSG00000122012,red,
ENSG00000110975,red,
ENSG00000132718,red,
ENSG00000103528,red,
ENSG00000179002,red,
ENSG00000131374,red,
ENSG00000116205,red,
ENSG00000151923,red,
ENSG00000188869,red,
ENSG00000259343,red,
ENSG00000152128,red,
ENSG00000127419,red,
ENSG00000198133,red,
ENSG00000187783,red,
ENSG00000224812,red,
ENSG00000178297,red,
ENSG00000140416,red,
ENSG00000167515,red,
ENSG00000204614,red,
ENSG00000104447,red,
ENSG00000236672,red,
ENSG00000235135,red,
ENSG00000113621,red,
ENSG00000137073,red,
ENSG00000185019,red,
ENSG00000108312,red,
ENSG00000198722,red,
ENSG00000117533,red,
ENSG00000129003,red,
ENSG00000069329,red,
ENSG00000166272,red,
ENSG00000277641,red,
ENSG00000143816,red,
ENSG00000232261,red,
ENSG00000197279,red,
ENSG00000096654,red,
ENSG00000168916,red,
ENSG00000167395,red,
ENSG00000188372,red,
ENSG00000196812,red,
ENSG00000269293,red,
ENSG00000081760,green,lipid
ENSG00000157426,green,
ENSG00000101986,green,
ENSG00000173208,green,
ENSG00000117528,green,
ENSG00000204427,green,
ENSG00000011198,green,
ENSG00000167315,green,
ENSG00000278540,green,
ENSG00000076555,green,
ENSG00000240303,green,
ENSG00000177646,green,
ENSG00000115361,green,
ENSG00000117054,green,
ENSG00000122971,green,
ENSG00000196177,green,
ENSG00000072778,green,
ENSG00000075239,green,
ENSG00000120437,green,
ENSG00000131473,green,
ENSG00000184227,green,
ENSG00000162390,green,
ENSG00000172497,green,
ENSG00000119673,green,
ENSG00000177465,green,
ENSG00000205669,green,
ENSG00000097021,green,
ENSG00000101473,green,
ENSG00000161533,green,
ENSG00000168306,green,
ENSG00000087008,green,
