ID,trait_PathoAD,trait_ClinAD,trait_B.amyloid,trait_Tau.tangles,trait_Cognitive.decline,direction_CBE,direction_TCX
ENSG00000166484,1.81,1.55,2.77,0.07,2.36,NONE,NONE
ENSG00000141873,-0.37,-2.34,-2.19,-0.33,-2.32,NONE,DOWN
ENSG00000161847,1.39,1.27,2.27,0.14,2.32,NONE,NONE
ENSG00000164604,-0.37,-0.59,-0.68,-0.52,-2.27,NONE,NONE
ENSG00000086848,-2.38,-0.33,-1.99,-1.65,-2.26,NONE,NONE
ENSG00000197498,-0.74,-1.9,-2.04,-1.26,-2.25,NONE,NONE
ENSG00000129071,-1.5,-2.65,-0.47,-2.55,-2.25,NONE,DOWN
ENSG00000170677,1.18,1.6,4.77,1.4,2.23,NONE,NONE
ENSG00000108061,-0.25,-1.02,-1.44,-0.02,-2.21,NONE,NONE
ENSG00000079332,-0.42,-0.13,0.34,-0.98,-2.19,NONE,NONE
ENSG00000171303,0.01,-1.11,-1.68,0.27,-2.18,NONE,DOWN
ENSG00000248333,1.84,1.31,1.1,2.29,2.16,NONE,NONE
ENSG00000205581,-1.71,-1.15,-0.92,-2.51,-2.1,DOWN,NONE
ENSG00000064419,-0.86,-1.47,-0.64,-1.91,-2.1,NONE,NONE
ENSG00000243232,-0.79,-0.82,-0.62,-2.57,-2.08,UP,NONE
ENSG00000131174,-1.32,-0.68,-3.26,-1.21,-2.06,NONE,NONE
ENSG00000266964,0.25,0.84,0.27,0.61,2.05,NONE,NONE
ENSG00000081307,-0.63,-0.96,-0.26,-2.88,-2.04,NONE,NONE
ENSG00000163932,-0.5,-1.88,-0.9,-0.48,-2.01,NONE,DOWN
ENSG00000272325,2.38,2.18,2.91,0.8,2.01,NONE,NONE
ENSG00000240184,0.7,1.15,1.14,-0.19,1.99,UP,UP
ENSG00000065526,0.91,1.64,2.03,0.14,1.95,NONE,NONE
ENSG00000177575,0.2,1.01,1.3,0.86,1.93,UP,UP
ENSG00000122545,0.44,1.86,2.48,0.42,1.92,NONE,NONE
ENSG00000125966,-0.4,-0.95,-2.23,0.11,-1.92,NONE,NONE
ENSG00000057252,0.54,1.1,0.78,0.22,1.91,NONE,UP
ENSG00000071626,0.15,0.53,0.21,0.28,1.91,NONE,NONE
ENSG00000173210,-0.09,-0.75,-0.29,-0.47,-1.87,NONE,NONE
