ID,custom_color,
ENSG00000119689,darkred,
ENSG00000110435,darkred,
ENSG00000168827,darkred,
ENSG00000143158,darkred,
ENSG00000023228,darkred,
ENSG00000259494,darkred,
ENSG00000075415,darkred,
ENSG00000181610,darkred,
ENSG00000091483,darkred,
ENSG00000165688,darkred,
ENSG00000184076,darkred,
ENSG00000135070,darkred,
ENSG00000136143,darkred,
ENSG00000132423,darkred,
ENSG00000067704,darkred,
ENSG00000116898,darkred,
ENSG00000166411,darkred,
ENSG00000166260,darkred,
ENSG00000171503,darkred,
ENSG00000134809,darkred,
ENSG00000130312,darkred,
ENSG00000112651,darkred,
ENSG00000248098,darkred,
ENSG00000173660,darkred,
ENSG00000146066,darkred,
ENSG00000127884,darkred,
ENSG00000050426,darkred,
ENSG00000111775,darkred,
ENSG00000014919,darkred,
ENSG00000141385,darkred,
ENSG00000084754,darkred,
ENSG00000140374,darkred,
ENSG00000115286,darkred,
ENSG00000157184,darkred,
ENSG00000083123,darkred,
ENSG00000101365,darkred,
ENSG00000011376,darkred,
ENSG00000122971,darkred,
ENSG00000168924,darkred,
ENSG00000198836,darkred,
ENSG00000148090,darkred,
ENSG00000163541,darkred,
ENSG00000178127,darkred,
ENSG00000119723,darkred,
ENSG00000055950,darkred,
ENSG00000106077,darkred,
ENSG00000154723,darkred,
ENSG00000166136,darkred,
ENSG00000255339,darkred,
ENSG00000196365,darkred,
ENSG00000091140,darkred,
ENSG00000156709,darkred,
ENSG00000134463,darkred,
ENSG00000155008,darkred,
ENSG00000159111,darkred,
ENSG00000148187,darkred,
ENSG00000110717,darkred,
ENSG00000117054,darkred,
ENSG00000132305,darkred,
ENSG00000100575,darkred,
ENSG00000151729,darkred,
ENSG00000100347,darkred,
ENSG00000158864,darkred,
ENSG00000167792,darkred,
ENSG00000100412,darkred,
ENSG00000156502,darkred,
ENSG00000066926,darkred,
ENSG00000085760,darkred,
ENSG00000167085,darkred,
ENSG00000198130,darkred,
ENSG00000122140,darkred,
ENSG00000113013,darkred,
ENSG00000148290,darkred,
ENSG00000165672,darkred,
ENSG00000165678,darkred,
ENSG00000151806,darkred,
ENSG00000099800,darkred,
ENSG00000214113,darkred,
ENSG00000166902,darkred,
ENSG00000185608,darkred,
ENSG00000067829,darkred,
ENSG00000143252,darkred,
ENSG00000136521,darkred,
ENSG00000167985,darkred,
ENSG00000256591,darkred,
ENSG00000135469,darkred,
ENSG00000100348,darkred,
ENSG00000096080,darkred,
ENSG00000164919,darkred,
ENSG00000147684,darkred,
ENSG00000109919,darkred,
ENSG00000184983,darkred,
ENSG00000178537,darkred,
ENSG00000169288,darkred,
ENSG00000104980,darkred,
ENSG00000138495,darkred,
ENSG00000112096,darkred,
ENSG00000126267,darkred,
ENSG00000213585,darkred,
ENSG00000125656,darkred,
ENSG00000138796,darkred,
ENSG00000115361,darkred,
ENSG00000075239,darkred,
ENSG00000156928,darkred,
ENSG00000166855,darkred,
