ID,logFC_CBE_Mayo,custom_direction_CBE_Mayo,logFC_TCX_Mayo,direction_TCX_Mayo
ENSG00000004487,-0.03528373,NONE,-0.017044662,NONE
ENSG00000116685,0.11672788,NONE,0.029830017,NONE
ENSG00000117245,-0.186463946,NONE,-0.414192785,DOWN
ENSG00000054523,0.120293616,NONE,0.121345195,NONE
ENSG00000187961,0.458917496,UP,0.282842001,UP
ENSG00000162413,0.197059169,NONE,0.283612813,UP
ENSG00000225880,0.243753538,NONE,0.010537422,NONE
ENSG00000218510,-0.199827586,NONE,-0.170307155,NONE
ENSG00000177133,0.017141603,NONE,0.103961417,NONE
ENSG00000228794,0.069667023,NONE,-0.318105588,DOWN
ENSG00000236963,-0.054600436,NONE,-0.064180317,NONE
ENSG00000261326,-0.251360808,NONE,0.034525606,NONE
ENSG00000226029,-0.302877553,Down,-0.105750636,NONE
ENSG00000230415,-0.192379023,NONE,0.028014524,NONE
ENSG00000162494,-0.188054019,NONE,-0.609989612,DOWN
ENSG00000130764,0.05570021,NONE,-0.156593027,NONE
ENSG00000169641,0.084461762,NONE,-0.063301126,NONE
ENSG00000162441,0.309784316,UP,0.227777729,NONE
ENSG00000116670,0.042369998,NONE,0.036262325,NONE
ENSG00000009724,0.24408837,NONE,-0.236133156,NONE
ENSG00000162591,-0.035349762,NONE,-0.230767282,NONE
ENSG00000116688,0.076097259,NONE,-0.09414196,NONE
ENSG00000197530,-0.058689219,NONE,-0.090848607,NONE
ENSG00000116691,0.038268545,NONE,0.04397743,NONE
ENSG00000173436,-0.169963858,NONE,-0.277757082,DOWN
ENSG00000228526,-0.262620932,NONE,0.084717977,NONE
ENSG00000284005,NA,NA,NA,NA
ENSG00000189409,NA,NA,NA,NA
ENSG00000116151,-0.171867408,NONE,-0.289400906,DOWN
ENSG00000242485,-0.125283157,NONE,-0.108217558,NONE
ENSG00000053372,-0.252737811,NONE,-0.299362137,DOWN
ENSG00000186715,-0.21415182,NONE,-0.069487369,NONE
ENSG00000186301,-0.037774218,NONE,-0.140195991,NONE
ENSG00000248527,-0.036168551,NONE,0.064923382,NONE
ENSG00000237973,-0.572777274,Down,0.032192512,NONE
ENSG00000229344,-0.704668429,Down,-0.04773857,NONE
ENSG00000198744,-0.776329962,Down,-0.160723078,NONE
ENSG00000177000,-0.244333823,NONE,-0.237521681,NONE
ENSG00000225972,-0.659271526,Down,0.003939648,NONE
ENSG00000225630,-0.877009101,Down,0.002143662,NONE
ENSG00000198793,-0.013337838,NONE,0.10355872,NONE
ENSG00000090432,-0.013656057,NONE,0.238515914,NONE
ENSG00000162576,-0.134475802,NONE,0.097743218,NONE
ENSG00000008130,0.069083969,NONE,0.136940128,NONE
ENSG00000158747,-0.30693223,Down,-0.139245766,NONE
ENSG00000219481,0.176964417,NONE,-0.067218618,NONE
ENSG00000142794,0.004495291,NONE,-0.196582498,NONE
ENSG00000157191,-0.085143369,NONE,0.221877225,NONE
ENSG00000173614,-0.127252136,NONE,0.077617903,NONE
ENSG00000188976,0.092637103,NONE,-0.225979762,NONE
ENSG00000162408,-0.07205493,NONE,-0.152647446,NONE
ENSG00000131697,0.013530868,NONE,-0.024927813,NONE
ENSG00000175206,NA,NA,NA,NA
ENSG00000169914,-0.234853598,NONE,-0.378780194,DOWN
ENSG00000142623,NA,NA,NA,NA
ENSG00000117115,-0.185233511,NONE,0.198350436,NONE
ENSG00000159339,NA,NA,NA,NA
ENSG00000273494,NA,NA,NA,NA
ENSG00000116288,0.01429949,NONE,0.049120995,NONE
ENSG00000009709,-0.232927976,NONE,-0.579728851,DOWN
ENSG00000162493,-0.00217698,NONE,0.707112574,UP
ENSG00000049246,-0.173714543,NONE,-0.179240445,NONE
ENSG00000157911,-0.019361288,NONE,0.033014171,NONE
ENSG00000142655,-0.194538962,NONE,-0.08564971,NONE
ENSG00000142657,-0.051784456,NONE,0.192390482,NONE
ENSG00000116273,0.221566806,NONE,-0.013486658,NONE
ENSG00000171608,0.284611201,UP,-0.086728742,NONE
ENSG00000158828,0.297778611,UP,0.063209419,NONE
ENSG00000117242,-0.159238999,NONE,-0.220939517,NONE
ENSG00000188257,NA,NA,NA,NA
ENSG00000127472,-0.532442507,Down,0.237143127,NONE
ENSG00000276429,NA,NA,NA,NA
ENSG00000171680,0.077416045,NONE,-0.206488116,NONE
ENSG00000116786,0.054982188,NONE,0.285398406,UP
ENSG00000083444,0.241331315,NONE,0.292017023,UP
ENSG00000040487,-0.325524625,Down,-0.039513291,NONE
ENSG00000142611,0.294982916,UP,0.464414724,UP
ENSG00000116731,0.04170353,NONE,-0.23722176,NONE
ENSG00000067606,0.207584669,NONE,-0.370907044,DOWN
ENSG00000182873,0.202629586,NONE,-0.024879008,NONE
ENSG00000169972,-0.01328128,NONE,0.000607432,NONE
ENSG00000076864,0.006391436,NONE,-0.220717201,NONE
ENSG00000162444,0.123237849,NONE,0.04115033,NONE
ENSG00000179051,0.262238932,NONE,0.135196509,NONE
ENSG00000157916,0.154233791,NONE,-0.034524526,NONE
ENSG00000142599,-0.069107143,NONE,0.106194103,NONE
ENSG00000240490,NA,NA,NA,NA
ENSG00000265141,NA,NA,NA,NA
ENSG00000178828,NA,NA,NA,NA
ENSG00000158286,-0.052162926,NONE,-0.28779442,DOWN
ENSG00000237330,NA,NA,NA,NA
ENSG00000206652,NA,NA,NA,NA
ENSG00000207005,NA,NA,NA,NA
ENSG00000207513,NA,NA,NA,NA
ENSG00000207389,NA,NA,NA,NA
ENSG00000199562,NA,NA,NA,NA
ENSG00000116251,-0.013460951,NONE,-0.122192698,NONE
ENSG00000187634,0.612685887,UP,1.273857531,UP
ENSG00000162572,-0.339931734,Down,-0.23193708,NONE
ENSG00000078808,-0.098685728,NONE,-0.010950948,NONE
ENSG00000117118,0.059354541,NONE,-0.027829325,NONE
ENSG00000189410,-0.417635851,Down,-0.597139016,DOWN
ENSG00000157933,0.007499842,NONE,0.179151378,NONE
ENSG00000171612,0.032306037,NONE,0.254483162,NONE
ENSG00000162461,-0.177232864,NONE,-0.03093208,NONE
ENSG00000142583,0.327505194,NONE,0.165974142,NONE
ENSG00000189339,0.209445264,NONE,0.12690824,NONE
ENSG00000162426,-0.14798523,NONE,-0.240336243,NONE
ENSG00000187144,-0.201102803,NONE,-0.190043568,NONE
ENSG00000065526,0.149377692,NONE,0.075930711,NONE
ENSG00000171621,-0.039778881,NONE,0.089846105,NONE
ENSG00000183888,0.463843192,UP,0.628582232,UP
ENSG00000116649,-0.211302805,NONE,-0.045806792,NONE
ENSG00000160075,-0.033073769,NONE,-0.031904396,NONE
ENSG00000055070,-0.133246217,NONE,0.320612947,UP
ENSG00000120948,0.166886636,NONE,-0.078045129,NONE
ENSG00000173662,NA,NA,NA,NA
ENSG00000169962,0.273415367,NONE,0.058324221,NONE
ENSG00000041988,0.097614826,NONE,-0.142474714,NONE
ENSG00000162542,0.217469777,NONE,0.468770152,UP
ENSG00000188807,-0.134612253,NONE,-0.130866716,NONE
ENSG00000205090,0.044497731,NONE,0.021197693,NONE
ENSG00000171729,0.368500232,UP,0.302751761,UP
ENSG00000175147,-0.008994827,NONE,-0.427832488,DOWN
ENSG00000178821,-0.200711059,NONE,-0.249078495,NONE
ENSG00000205116,-0.177004087,NONE,-0.115463275,NONE
ENSG00000273936,NA,NA,NA,NA
ENSG00000186891,NA,NA,NA,NA
ENSG00000028137,0.247076719,NONE,0.442515637,UP
ENSG00000215788,0.083919992,NONE,0.004450111,NONE
ENSG00000049249,NA,NA,NA,NA
ENSG00000078900,0.153715601,NONE,-0.398779858,DOWN
ENSG00000227372,0.056805573,NONE,-0.092427989,NONE
ENSG00000158109,0.12779779,NONE,0.014380373,NONE
ENSG00000215912,-0.535906791,Down,-0.376339697,DOWN
ENSG00000160087,0.005123201,NONE,-0.020250024,NONE
ENSG00000130939,-0.154670778,NONE,-0.086240827,NONE
ENSG00000120942,0.103789227,NONE,0.079641041,NONE
ENSG00000127481,0.128938331,NONE,0.05715525,NONE
ENSG00000162543,-0.023477016,NONE,0.006086102,NONE
ENSG00000233954,0.074678331,NONE,-0.301407695,DOWN
ENSG00000090686,-0.19831834,NONE,-0.150152263,NONE
ENSG00000049245,0.044891165,NONE,0.320285472,UP
ENSG00000048707,0.136142789,NONE,0.084152837,NONE
ENSG00000179403,-0.006532699,NONE,0.094290325,NONE
ENSG00000227232,0.100643958,NONE,-0.050446066,NONE
ENSG00000162552,-0.004588056,NONE,0.286574156,NONE
ENSG00000116213,-0.034115794,NONE,-0.053833814,NONE
ENSG00000116809,0.027824039,NONE,-0.027942705,NONE
ENSG00000184677,0.273153839,UP,0.176117239,NONE
ENSG00000204859,-0.059973618,NONE,-0.166508945,NONE
ENSG00000121753,0.102663154,NONE,-0.150396296,NONE
ENSG00000116863,0.028305628,NONE,-0.005078199,NONE
ENSG00000092847,-0.052936464,NONE,-0.035014382,NONE
ENSG00000126070,0.08049306,NONE,0.049812699,NONE
ENSG00000134698,-0.236628365,NONE,-0.112175191,NONE
ENSG00000126705,0.072155427,NONE,0.170114178,NONE
ENSG00000004455,-0.202530207,NONE,0.056523246,NONE
ENSG00000174574,0.149330322,NONE,0.138692632,NONE
ENSG00000117448,-0.159747306,NONE,-0.063140983,NONE
ENSG00000117713,0.054777283,NONE,0.245977534,NONE
ENSG00000117407,-0.352470936,Down,-0.133061096,NONE
ENSG00000088280,0.089518827,NONE,0.385793742,UP
ENSG00000130770,-0.097422043,NONE,-0.173246589,NONE
ENSG00000117410,-0.028089828,NONE,-0.143449681,NONE
ENSG00000123472,-0.096708733,NONE,-0.03291971,NONE
ENSG00000127423,-0.139770825,NONE,-0.187729305,NONE
ENSG00000142920,-0.231553158,NONE,-0.371997379,DOWN
ENSG00000117411,-0.034526608,NONE,0.033284714,NONE
ENSG00000142959,-0.348036993,Down,-0.474882519,DOWN
ENSG00000183682,NA,NA,NA,NA
ENSG00000116985,-0.048592027,NONE,-0.074486115,NONE
ENSG00000160058,-0.033999661,NONE,-0.017554428,NONE
ENSG00000222009,-0.004071039,NONE,0.041033084,NONE
ENSG00000116922,0.126873596,NONE,-0.092293693,NONE
ENSG00000197982,0.081612728,NONE,0.100742569,NONE
ENSG00000142686,0.423178066,UP,-0.161181077,NONE
ENSG00000164008,-0.138135169,NONE,-0.105151937,NONE
ENSG00000131236,0.115768041,NONE,0.187230302,NONE
ENSG00000280670,-0.013196973,NONE,0.332314368,UP
ENSG00000159588,0.003818397,NONE,-0.044045831,NONE
ENSG00000159214,-0.240686559,NONE,-0.199930255,NONE
ENSG00000160050,-0.082861497,NONE,-0.073362424,NONE
ENSG00000186409,-0.19806594,NONE,-0.256269664,NONE
ENSG00000169442,NA,NA,NA,NA
ENSG00000117399,NA,NA,NA,NA
ENSG00000134690,NA,NA,NA,NA
ENSG00000130695,0.013371686,NONE,0.055302652,NONE
ENSG00000179862,-0.15881579,NONE,0.07521607,NONE
ENSG00000169504,0.39861548,UP,0.464902714,UP
ENSG00000092853,NA,NA,NA,NA
ENSG00000142675,-0.223259456,NONE,-0.19376437,NONE
ENSG00000188822,NA,NA,NA,NA
ENSG00000084636,-0.258827298,NONE,-0.177025284,NONE
ENSG00000171812,0.316064228,NONE,0.618420901,UP
ENSG00000049089,-0.150391182,NONE,-0.180081023,NONE
ENSG00000119535,0.405932799,UP,0.279755922,NONE
ENSG00000121904,-0.018377729,NONE,-0.147086395,NONE
ENSG00000171793,0.120747351,NONE,0.006351674,NONE
ENSG00000222046,-0.1857886,NONE,-0.299338687,DOWN
ENSG00000117682,-0.323478728,Down,-0.245921858,NONE
ENSG00000116544,0.050394833,NONE,-0.225455409,NONE
ENSG00000178028,-0.019874488,NONE,-0.171707103,NONE
ENSG00000126698,0.016570226,NONE,0.000994791,NONE
ENSG00000163879,-0.154770078,NONE,0.187365128,NONE
ENSG00000132768,-0.031238357,NONE,-0.080232594,NONE
ENSG00000007968,NA,NA,NA,NA
ENSG00000117395,0.084940539,NONE,-0.145620431,NONE
ENSG00000159658,0.016956173,NONE,0.237154173,NONE
ENSG00000070785,-0.037342327,NONE,-0.267771125,DOWN
ENSG00000084623,0.001943557,NONE,0.045253888,NONE
ENSG00000011007,0.026804361,NONE,-0.035826916,NONE
ENSG00000066322,-0.005026426,NONE,0.078202768,NONE
ENSG00000159023,0.026341545,NONE,0.28387953,UP
ENSG00000183317,-0.535903355,Down,-0.529517156,DOWN
ENSG00000117419,-0.08396103,NONE,0.037381328,NONE
ENSG00000164010,-0.052868629,NONE,0.253150778,NONE
ENSG00000142694,0.071083657,NONE,0.301011399,UP
ENSG00000164002,-0.024899035,NONE,-0.270008489,DOWN
ENSG00000158008,-0.154962719,NONE,-0.418652025,DOWN
ENSG00000158161,-0.142064974,NONE,-0.044191341,NONE
ENSG00000117480,-0.28620618,Down,-0.419500263,DOWN
ENSG00000232022,0.272454748,NONE,0.023564947,NONE
ENSG00000121769,-0.093797621,NONE,-0.247286112,NONE
ENSG00000197245,0.173768202,NONE,0.416894834,UP
ENSG00000183615,0.495295031,UP,0.983936912,UP
ENSG00000225828,0.311906762,UP,0.145861565,NONE
ENSG00000009780,-0.425302587,Down,-0.148111747,NONE
ENSG00000000938,0.41221194,UP,0.746049314,UP
ENSG00000183386,0.239646866,NONE,0.27450532,UP
ENSG00000160097,-0.126495773,NONE,-0.482859708,DOWN
ENSG00000198815,-0.104813016,NONE,-0.114324661,NONE
ENSG00000204060,-0.08297175,NONE,0.126070191,NONE
ENSG00000179163,-0.022646566,NONE,-0.091653068,NONE
ENSG00000117308,-0.136431889,NONE,-0.16889451,NONE
ENSG00000187513,0.714988451,UP,0.900153457,UP
ENSG00000188910,-0.222942644,NONE,-0.3614338,NONE
ENSG00000162419,-0.155891991,NONE,-0.101436529,NONE
ENSG00000134697,-0.115738248,NONE,-0.072405552,NONE
ENSG00000198746,0.041947675,NONE,-0.301722465,DOWN
ENSG00000159592,0.062322099,NONE,0.086413249,NONE
ENSG00000142751,0.04155969,NONE,-0.0325814,NONE
ENSG00000181773,-0.357906861,Down,-0.379438119,DOWN
ENSG00000163873,-0.258293019,NONE,-0.067327406,NONE
ENSG00000121764,NA,NA,NA,NA
ENSG00000116478,0.073357018,NONE,0.294077234,UP
ENSG00000126107,-0.03405604,NONE,-0.043144999,NONE
ENSG00000163909,0.077545413,NONE,0.423551683,UP
ENSG00000127124,-0.083326567,NONE,-0.010263255,NONE
ENSG00000117305,-0.332833906,Down,-0.058612557,NONE
ENSG00000198830,-0.149825446,NONE,-0.19485602,NONE
ENSG00000125944,0.155832377,NONE,-0.058992869,NONE
ENSG00000121905,-0.045066933,NONE,-0.110627409,NONE
ENSG00000116983,-0.089226149,NONE,-0.153623823,NONE
ENSG00000186603,-0.124649981,NONE,-0.078479843,NONE
ENSG00000178922,-0.010338697,NONE,0.034189578,NONE
ENSG00000117318,0.620199231,UP,0.872635802,UP
ENSG00000126709,-0.002331236,NONE,0.310826413,UP
ENSG00000185436,0.002860339,NONE,0.567751878,UP
ENSG00000204084,-0.048824838,NONE,-0.102433372,NONE
ENSG00000117408,-0.071717105,NONE,-0.009826802,NONE
ENSG00000197429,-0.135798539,NONE,-0.06669047,NONE
ENSG00000160051,-0.058427041,NONE,-0.162679025,NONE
ENSG00000117013,0.051000183,NONE,-0.15878675,NONE
ENSG00000066135,0.178575624,NONE,-0.026591746,NONE
ENSG00000121774,0.003642809,NONE,-0.201188034,NONE
ENSG00000142687,-0.263524444,Down,-0.049543556,NONE
ENSG00000162522,-0.041695065,NONE,0.160862092,NONE
ENSG00000142945,-0.155718321,NONE,-0.231961956,NONE
ENSG00000025800,0.342739154,UP,0.065437046,NONE
ENSG00000162511,0.33673378,NONE,0.247737296,NONE
ENSG00000182866,NA,NA,NA,NA
ENSG00000157978,-0.113360998,NONE,0.013425588,NONE
ENSG00000132128,-0.012892073,NONE,0.037057342,NONE
ENSG00000181817,0.006843986,NONE,0.201145723,NONE
ENSG00000171357,0.278968178,UP,-0.146924959,NONE
ENSG00000011009,-0.013319619,NONE,-0.016540921,NONE
ENSG00000127603,0.233449349,NONE,0.309425002,UP
ENSG00000204178,-0.052843866,NONE,-0.062122097,NONE
ENSG00000117643,0.072401109,NONE,0.150809591,NONE
ENSG00000185090,0.009598721,NONE,-0.227349537,NONE
ENSG00000142733,-0.105538686,NONE,0.358990876,UP
ENSG00000116871,0.09023601,NONE,-0.049091797,NONE
ENSG00000175130,-0.036250017,NONE,-0.036180389,NONE
ENSG00000086015,0.017741565,NONE,0.044206153,NONE
ENSG00000186056,-0.399817188,NONE,-0.484624184,DOWN
ENSG00000163875,-0.142802647,NONE,-0.222746866,NONE
ENSG00000116353,-0.415741729,Down,-0.438157945,DOWN
ENSG00000130772,-0.13097916,NONE,0.086673715,NONE
ENSG00000159479,0.003168701,NONE,-0.052496905,NONE
ENSG00000168389,0.104946746,NONE,0.229654081,NONE
ENSG00000079277,-0.016615246,NONE,-0.106736824,NONE
ENSG00000269956,NA,NA,NA,NA
ENSG00000132763,-0.01188737,NONE,-0.207833545,NONE
ENSG00000142961,0.298227741,UP,0.285936914,UP
ENSG00000116898,-0.108039885,NONE,-0.006800756,NONE
ENSG00000188786,0.087594699,NONE,0.097154174,NONE
ENSG00000117640,-0.149915921,NONE,-0.067778922,NONE
ENSG00000220785,0.045419845,NONE,0.052050705,NONE
ENSG00000132781,-0.189090856,NONE,0.017978958,NONE
ENSG00000214114,-0.018506476,NONE,0.085722771,NONE
ENSG00000116990,-0.239583932,NONE,-0.249403034,NONE
ENSG00000132780,-0.402603,Down,-0.120241904,NONE
ENSG00000020129,-0.155239134,NONE,-0.06100062,NONE
ENSG00000168653,-0.175621209,NONE,-0.00893276,NONE
ENSG00000066136,-0.226550575,NONE,-0.09882602,NONE
ENSG00000272145,0.208950624,NONE,-0.098966344,NONE
ENSG00000001461,0.136805563,NONE,-0.272487503,DOWN
ENSG00000084628,-0.18332792,NONE,-0.259584813,NONE
ENSG00000117481,-0.033372918,NONE,-0.104543741,NONE
ENSG00000116981,0.479141855,UP,-0.225343391,NONE
ENSG00000090273,-0.000701455,NONE,-0.009269961,NONE
ENSG00000116329,0.139168908,NONE,-0.090893816,NONE
ENSG00000116885,-0.00504162,NONE,-0.176730115,NONE
ENSG00000117385,-0.136532723,NONE,-0.136442452,NONE
ENSG00000090621,-0.14111013,NONE,-0.032629203,NONE
ENSG00000158006,-0.035102863,NONE,0.129574399,NONE
ENSG00000182749,-0.311500587,Down,-0.045124474,NONE
ENSG00000175087,0.132022391,NONE,-0.123910456,NONE
ENSG00000162517,-0.056014233,NONE,-0.031037612,NONE
ENSG00000204138,-0.137680481,NONE,0.10905492,NONE
ENSG00000134686,-0.092213711,NONE,0.05687984,NONE
ENSG00000060642,0.176363688,NONE,0.271141654,UP
ENSG00000117461,-0.092724812,NONE,0.17931427,NONE
ENSG00000057757,0.002217416,NONE,-0.048682031,NONE
ENSG00000173846,0.123856518,NONE,0.103900713,NONE
ENSG00000189266,0.180947087,NONE,0.291887221,UP
ENSG00000085998,-0.12471081,NONE,0.014173622,NONE
ENSG00000185668,0.083684722,NONE,0.127507992,NONE
ENSG00000127125,-0.201711168,NONE,-0.127708821,NONE
ENSG00000084072,-0.136255539,NONE,-0.189730846,NONE
ENSG00000243970,-0.196378686,NONE,-0.211320707,NONE
ENSG00000171960,-0.060448833,NONE,-0.202709182,NONE
ENSG00000117751,0.051120258,NONE,0.13333642,NONE
ENSG00000131238,0.093872428,NONE,0.027530928,NONE
ENSG00000117450,0.323376821,UP,0.469793296,UP
ENSG00000126067,-0.296763814,Down,-0.198424827,NONE
ENSG00000169403,0.260768977,NONE,0.167024391,NONE
ENSG00000117425,0.118471808,NONE,0.04498624,NONE
ENSG00000184007,0.011613428,NONE,0.015220062,NONE
ENSG00000142949,0.228047596,NONE,0.189011555,NONE
ENSG00000060656,0.100558452,NONE,0.258407532,NONE
ENSG00000134644,-0.035916641,NONE,-0.062761098,NONE
ENSG00000085999,0.067895679,NONE,-0.174203276,NONE
ENSG00000162521,0.188457073,NONE,0.081527118,NONE
ENSG00000117602,0.073003359,NONE,-0.292522357,DOWN
ENSG00000180198,0.391578859,UP,0.48294578,UP
ENSG00000158315,-0.248121586,NONE,-0.199718645,NONE
ENSG00000187010,-0.749537413,NONE,-0.839229401,NONE
ENSG00000177181,-0.071013311,NONE,-0.243991194,NONE
ENSG00000117016,0.110948272,NONE,-0.15196046,NONE
ENSG00000117000,0.141107772,NONE,-0.108740454,NONE
ENSG00000240750,NA,NA,NA,NA
ENSG00000116514,0.52722559,UP,0.069819002,NONE
ENSG00000187147,-0.125271004,NONE,0.079226553,NONE
ENSG00000274978,NA,NA,NA,NA
ENSG00000117748,-0.047190926,NONE,0.05980205,NONE
ENSG00000142676,-0.043284,NONE,0.022385669,NONE
ENSG00000225447,NA,NA,NA,NA
ENSG00000117676,-0.114663229,NONE,-0.021349105,NONE
ENSG00000142937,-0.095648437,NONE,-0.03386327,NONE
ENSG00000116954,-0.118025702,NONE,0.059351101,NONE
ENSG00000117616,-0.20260882,NONE,-0.084514473,NONE
ENSG00000020633,NA,NA,NA,NA
ENSG00000116497,-0.15085353,NONE,0.008329802,NONE
ENSG00000010803,-0.355587992,Down,-0.007384202,NONE
ENSG00000162512,-0.207093908,NONE,0.195774003,NONE
