Gene,Target,Custom_Color_Target,Custom_Color_Seed
ENSG00000197150,MitoCarta,Blue,
ENSG00000171953,MitoCarta,Blue,
ENSG00000139180,MitoCarta,Blue,
ENSG00000168275,MitoCarta,Blue,
ENSG00000099821,MitoCarta,Blue,
ENSG00000136003,MitoCarta,Blue,
ENSG00000130347,MitoCarta,Blue,
ENSG00000197444,MitoCarta,Blue,
ENSG00000165629,MitoCarta,Blue,
ENSG00000103507,MitoCarta,Blue,
ENSG00000164347,MitoCarta,Blue,
ENSG00000123545,MitoCarta,Blue,
ENSG00000125434,MitoCarta,Blue,
ENSG00000108528,MitoCarta,Blue,
ENSG00000150779,MitoCarta,Blue,
ENSG00000100294,MitoCarta,Blue,
ENSG00000181873,MitoCarta,Blue,
ENSG00000215021,MitoCarta,Blue,
ENSG00000132676,MitoCarta,Blue,
ENSG00000103121,MitoCarta,Blue,
ENSG00000205138,MitoCarta,Blue,
ENSG00000239789,MitoCarta,Blue,
ENSG00000147576,MitoCarta,Blue,
ENSG00000244005,MitoCarta,Blue,
ENSG00000101247,MitoCarta,Blue,
ENSG00000158042,MitoCarta,Blue,
ENSG00000136463,MitoCarta,Blue,
ENSG00000171109,MitoCarta,Blue,
ENSG00000196850,MitoCarta,Blue,
ENSG00000174547,MitoCarta,Blue,
ENSG00000131143,MitoCarta,Blue,
ENSG00000145494,MitoCarta,Blue,
ENSG00000172172,MitoCarta,Blue,
ENSG00000083720,MitoCarta,Blue,
ENSG00000135940,MitoCarta,Blue,
ENSG00000005882,MitoCarta,Blue,
ENSG00000023330,MitoCarta,Blue,
ENSG00000243147,MitoCarta,Blue,
ENSG00000135297,MitoCarta,Blue,
ENSG00000121897,MitoCarta,Blue,
ENSG00000128609,MitoCarta,Blue,
ENSG00000165264,MitoCarta,Blue,
ENSG00000128654,MitoCarta,Blue,
ENSG00000172340,MitoCarta,Blue,
ENSG00000137714,MitoCarta,Blue,
ENSG00000100075,MitoCarta,Blue,
ENSG00000147586,MitoCarta,Blue,
ENSG00000105197,MitoCarta,Blue,
ENSG00000165637,MitoCarta,Blue,
ENSG00000181035,MitoCarta,Blue,
ENSG00000196683,MitoCarta,Blue,
ENSG00000104823,MitoCarta,Blue,
ENSG00000059691,MitoCarta,Blue,
ENSG00000074582,MitoCarta,Blue,
ENSG00000132591,MitoCarta,Blue,
ENSG00000187118,MitoCarta,Blue,
ENSG00000086504,MitoCarta,Blue,
ENSG00000123297,MitoCarta,Blue,
ENSG00000165060,MitoCarta,Blue,
ENSG00000169599,MitoCarta,Blue,
ENSG00000139131,MitoCarta,Blue,
ENSG00000197345,MitoCarta,Blue,
ENSG00000159423,MitoCarta,Blue,
ENSG00000158882,MitoCarta,Blue,
ENSG00000137806,MitoCarta,Blue,
ENSG00000140990,MitoCarta,Blue,
ENSG00000196177,MitoCarta,Blue,
ENSG00000135972,MitoCarta,Blue,
ENSG00000163050,MitoCarta,Blue,
ENSG00000072778,MitoCarta,Blue,
ENSG00000167113,MitoCarta,Blue,
ENSG00000137547,MitoCarta,Blue,
ENSG00000131495,MitoCarta,Blue,
ENSG00000143314,MitoCarta,Blue,
ENSG00000144381,MitoCarta,Blue,
ENSG00000168653,MitoCarta,Blue,
ENSG00000147853,MitoCarta,Blue,
ENSG00000172115,MitoCarta,Blue,
ENSG00000027001,MitoCarta,Blue,
ENSG00000186687,MitoCarta,Blue,
ENSG00000095321,MitoCarta,Blue,
ENSG00000114054,MitoCarta,Blue,
ENSG00000125445,MitoCarta,Blue,
ENSG00000114686,MitoCarta,Blue,
ENSG00000100033,MitoCarta,Blue,
ENSG00000175198,MitoCarta,Blue,
